"subtype","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"IDHmut-intact","Clinicoradiologic","who_grade.L",0.5827003805470793,0.20521489599895243,2.8394643464383496,0.004518934472683678,0.18048657529799977,0.9849141857961587
"IDHmut-intact","Clinicoradiologic","who_grade.Q",0.09407761635917894,0.1792598721697014,0.5248113547136624,0.5997143373196324,-0.2572652769666897,0.4454205096850476
"IDHmut-intact","Clinicoradiologic","extent_of_resectionSubtotal resection",0.34043194210414707,0.2100646115480096,1.6206058678586253,0.10510219298851298,-0.07128713095634837,0.7521510151646424
"IDHmut-intact","Clinicoradiologic","log_tumor_volume",0.6376487636044956,0.18714059203266903,3.407324710681591,6.560303125041923e-4,0.27085994317496104,1.0044375840340303
"IDHmut-intact","Clinicoradiologic","enhancing_ord",0.17353020138349548,0.09725806208037356,1.784224337516524,0.07438721914075772,-0.017092097500197384,0.3641525002671884
"IDHmut-intact","3D-CNN","cnn_z",0.6089804950897303,0.12061463460221016,5.048976826884747,4.441826074803589e-7,0.37258015526093985,0.8453808349185208
"IDHmut-intact","3D-ViT","vit_z",0.7198530580019684,0.11772520513057731,6.114689349689633,9.67452369137641e-10,0.48911589587344695,0.9505902201304899
"IDHmut-intact","CR-ViT","who_grade.L",0.6607036644653916,0.20619007910936793,3.204342649846598,0.001353712629446139,0.256578535441566,1.0648287934892173
"IDHmut-intact","CR-ViT","who_grade.Q",0.13849962201724758,0.18018564659287672,0.7686495824508304,0.44210136258664434,-0.214657755835853,0.49165699987034817
"IDHmut-intact","CR-ViT","extent_of_resectionSubtotal resection",0.4687973040448729,0.2136571727901024,2.1941566385202576,0.02822415064542929,0.05003694033762107,0.8875576677521247
"IDHmut-intact","CR-ViT","log_tumor_volume",0.48773010005424655,0.19164194768688486,2.545007008857616,0.010927554485907223,0.11211878466084318,0.86334141544765
"IDHmut-intact","CR-ViT","enhancing_ord",0.08592738137359647,0.09701642613486626,0.8856993067766227,0.37577958198000194,-0.10422131975953179,0.2760760825067247
"IDHmut-intact","CR-ViT","vit_z",0.7154224998776256,0.12237995238969598,5.845912552731652,5.037986700450422e-9,0.47556220076409506,0.9552827989911562
"IDHmut-codel","Clinicoradiologic","who_grade.L",0.9642317823462156,0.38419858402907436,2.5097223738681116,0.012082611323101183,0.2112163947379444,1.717247169954487
"IDHmut-codel","Clinicoradiologic","who_grade.Q",,0,,,,
"IDHmut-codel","Clinicoradiologic","extent_of_resectionSubtotal resection",0.7206595134792622,0.2677702678634745,2.6913350732677235,0.007116667667759718,0.19583943233620915,1.2454795946223152
