"subtype","training_n","vit_cutoff","crvit_cutoff"
"GBM",417,0.12103751522095656,0.03350229872630538
"IDHmut-codel",189,0.02895043863074857,0.03871003906407425
"IDHmut-intact",237,0.03106221652153214,-0.08004410268135043
