"cohort","subtype","model","time_months","auc","brier"
"Temporal validation cohort","IDHmut-intact","3D-CNN",24,0.6549565414555346,0.22703031342086136
"Temporal validation cohort","IDHmut-intact","3D-CNN",30,0.6799441898712276,0.23020485926851564
"Temporal validation cohort","IDHmut-intact","3D-CNN",36,0.6917282810656383,0.2350920382994105
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",6,0.6451612903225805,0.06198225373728723
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",12,0.6346816744654078,0.13088789761481492
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",18,0.6544079505182727,0.20319604207182465
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,0.6329007653240093,0.24106115170682926
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",30,0.6597594886334304,0.24974920408111212
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",36,0.6546487386425208,0.2590527096483573
"Temporal validation cohort","IDHmut-intact","3D-ViT",6,0.640552995391705,0.06052857404969841
"Temporal validation cohort","IDHmut-intact","3D-ViT",12,0.6561290123777969,0.1254128236799774
"Temporal validation cohort","IDHmut-intact","3D-ViT",18,0.7070775981215607,0.17907213513109063
"Temporal validation cohort","IDHmut-intact","3D-ViT",24,0.7515929146633299,0.19673270003736715
"Temporal validation cohort","IDHmut-intact","3D-ViT",30,0.7768558664135827,0.19908095016358998
"Temporal validation cohort","IDHmut-intact","3D-ViT",36,0.8004488002862956,0.20207869683026075
"Temporal validation cohort","IDHmut-intact","CR-ViT",6,0.6451612903225806,0.05826230109082809
"Temporal validation cohort","IDHmut-intact","CR-ViT",12,0.7087112350872125,0.12164329865019868
"Temporal validation cohort","IDHmut-intact","CR-ViT",18,0.750405558689094,0.17062464961325785
"Temporal validation cohort","IDHmut-intact","CR-ViT",24,0.7704502554310165,0.19609875503469806
"Temporal validation cohort","IDHmut-intact","CR-ViT",30,0.801948935871137,0.19774255386216946
"Temporal validation cohort","IDHmut-intact","CR-ViT",36,0.8049490697915842,0.20176154708270289
"Temporal validation cohort","IDHmut-codel","3D-CNN",6,0.5898674594326768,0.05654432816064608
"Temporal validation cohort","IDHmut-codel","3D-CNN",12,0.63870885177740655,0.09519799217419879
"Temporal validation cohort","IDHmut-codel","3D-CNN",18,0.6269751268215474,0.12387144732334274
"Temporal validation cohort","IDHmut-codel","3D-CNN",24,0.7536912094978677,0.14678161307536003
"Temporal validation cohort","IDHmut-codel","3D-CNN",30,0.7241238439359248,0.1618314397611418
"Temporal validation cohort","IDHmut-codel","3D-CNN",36,0.7029003725886537,0.17971762833355465
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",6,0.8534931252322556,0.049865436658083497
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",12,0.7838977203173292,0.08657840060222058
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",18,0.710463021943518,0.12034779200184592
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",24,0.5533904135452078,0.17974261040944955
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",30,0.5961524077181362,0.1927117479873186
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",36,0.6435794893020182,0.19693036897356386
"Temporal validation cohort","IDHmut-codel","3D-ViT",6,0.6533197076675338,0.05571580447898086
"Temporal validation cohort","IDHmut-codel","3D-ViT",12,0.6689577106684432,0.09252650537507948
"Temporal validation cohort","IDHmut-codel","3D-ViT",18,0.6996837267810083,0.11568455090844598
"Temporal validation cohort","IDHmut-codel","3D-ViT",24,0.7883652559813629,0.13755984543593225
"Temporal validation cohort","IDHmut-codel","3D-ViT",30,0.8088849193327007,0.14705855986748106
"Temporal validation cohort","IDHmut-codel","3D-ViT",36,0.7763959057265779,0.166801071595997
"Temporal validation cohort","IDHmut-codel","CR-ViT",6,0.8046575003096742,0.04534791320800519
