"cohort","subtype","model","time_months","risk_quantile","n","predicted_event_probability","observed_event_probability"
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,1,21,0.15666934324244472,0.23809523809523836
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,2,21,0.21365087184333664,0.36363636363636365
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,3,21,0.279947646374397,0.5198856870683496
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,4,20,0.3594165794307782,0.4583333333333335
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,5,20,0.4631890651631335,0.4843333333333334
"Temporal validation cohort","IDHmut-intact","3D-CNN",24,1,21,0.16877913493703514,0.29841269841269846
"Temporal validation cohort","IDHmut-intact","3D-CNN",24,2,21,0.25957597294531903,0.227008547008547
"Temporal validation cohort","IDHmut-intact","3D-CNN",24,3,21,0.3122091982004228,0.3538461538461539
"Temporal validation cohort","IDHmut-intact","3D-CNN",24,4,20,0.3780721584878727,0.4732893157262906
"Temporal validation cohort","IDHmut-intact","3D-CNN",24,5,20,0.5685913819687786,0.6711309523809524
"Temporal validation cohort","IDHmut-intact","3D-ViT",24,1,21,0.14321968065496296,0.24603174603174605
"Temporal validation cohort","IDHmut-intact","3D-ViT",24,2,21,0.2226412983962967,0.2470588235294119
"Temporal validation cohort","IDHmut-intact","3D-ViT",24,3,21,0.31167396656939655,0.32330827067669166
"Temporal validation cohort","IDHmut-intact","3D-ViT",24,4,20,0.4096914033451357,0.524
"Temporal validation cohort","IDHmut-intact","3D-ViT",24,5,20,0.653504774955943,0.8615384615384616
"Temporal validation cohort","IDHmut-intact","CR-ViT",24,1,21,0.09846642228328246,0.19327731092436995
"Temporal validation cohort","IDHmut-intact","CR-ViT",24,2,21,0.18581714043784744,0.3035714285714287
"Temporal validation cohort","IDHmut-intact","CR-ViT",24,3,21,0.2766224368917588,0.2923485183547103
"Temporal validation cohort","IDHmut-intact","CR-ViT",24,4,20,0.4213096835480781,0.5541795665634677
"Temporal validation cohort","IDHmut-intact","CR-ViT",24,5,20,0.6888277147615158,0.826923076923077
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",24,1,17,0.07863289380696521,0.1428571428571428
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",24,2,17,0.13547402804496342,0.3121693121693123
