"cohort","subtype","time_months","threshold","strategy","net_benefit","n"
"Training cohort","IDHmut-intact",24,0.375,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.375,"Clinicoradiologic",0.056184565944875794,237
"Training cohort","IDHmut-intact",24,0.375,"3D-CNN",0.04396031179131684,237
"Training cohort","IDHmut-intact",24,0.375,"3D-ViT",0.08073491270739133,237
"Training cohort","IDHmut-intact",24,0.375,"CR-ViT",0.1192168625617493,237
"Training cohort","IDHmut-intact",24,0.4,"Treat all",-0.16140906021335538,237
"Training cohort","IDHmut-intact",24,0.4,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.4,"Clinicoradiologic",0.04718849565142517,237
"Training cohort","IDHmut-intact",24,0.4,"3D-CNN",0.016949285491666712,237
"Training cohort","IDHmut-intact",24,0.4,"3D-ViT",0.08001379059568889,237
"Training cohort","IDHmut-intact",24,0.4,"CR-ViT",0.09875626161442558,237
"Training cohort","IDHmut-intact",24,0.42500000000000004,"Treat all",-0.21190510630958825,237
"Training cohort","IDHmut-intact",24,0.42500000000000004,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.42500000000000004,"Clinicoradiologic",0.03572896227998583,237
"Training cohort","IDHmut-intact",24,0.42500000000000004,"3D-CNN",0.032361060956196556,237
"Training cohort","IDHmut-intact",24,0.42500000000000004,"3D-ViT",0.08468025146622062,237
"Training cohort","IDHmut-intact",24,0.42500000000000004,"CR-ViT",0.09681578913396988,237
"Training cohort","IDHmut-intact",24,0.45000000000000007,"Treat all",-0.26699170205093326,237
"Training cohort","IDHmut-intact",24,0.45000000000000007,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.45000000000000007,"Clinicoradiologic",0.04008438818565399,237
"Training cohort","IDHmut-intact",24,0.45000000000000007,"3D-CNN",0.04833091951483608,237
"Training cohort","IDHmut-intact",24,0.45000000000000007,"3D-ViT",0.059462862833630926,237
"Training cohort","IDHmut-intact",24,0.45000000000000007,"CR-ViT",0.10268487604127419,237
"Training cohort","IDHmut-intact",24,0.475,"Treat all",-0.32732464024383456,237
"Training cohort","IDHmut-intact",24,0.475,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.475,"Clinicoradiologic",0.044440791276234334,237
"Training cohort","IDHmut-intact",24,0.475,"3D-CNN",0.03962258303995,237
"Training cohort","IDHmut-intact",24,0.475,"3D-ViT",0.06323628691983128,237
"Training cohort","IDHmut-intact",24,0.475,"CR-ViT",0.09554272490912523,237
"Training cohort","IDHmut-intact",24,0.5,"Treat all",-0.3936908722560264,237
"Training cohort","IDHmut-intact",24,0.5,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.5,"Clinicoradiologic",0.04746835443037975,237
"Training cohort","IDHmut-intact",24,0.5,"3D-CNN",0.04171589310829815,237
"Training cohort","IDHmut-intact",24,0.5,"3D-ViT",0.0560490305092868,237
"Training cohort","IDHmut-intact",24,0.5,"CR-ViT",0.08136972855885735,237
"Training cohort","IDHmut-intact",24,0.525,"Treat all",-0.46704302342739623,237
"Training cohort","IDHmut-intact",24,0.525,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.525,"Clinicoradiologic",0.03220075505218742,237
"Training cohort","IDHmut-intact",24,0.525,"3D-CNN",0.05198968623352367,237
"Training cohort","IDHmut-intact",24,0.525,"3D-ViT",0.04566254854054706,237
"Training cohort","IDHmut-intact",24,0.525,"CR-ViT",0.08564093357372933,237
"Training cohort","IDHmut-intact",24,0.55,"Treat all",-0.5485454136178073,237
"Training cohort","IDHmut-intact",24,0.55,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.55,"Clinicoradiologic",0.0212533208313799,237
"Training cohort","IDHmut-intact",24,0.55,"3D-CNN",0.04217988606174261,237
"Training cohort","IDHmut-intact",24,0.55,"3D-ViT",0.04363289731800098,237
"Training cohort","IDHmut-intact",24,0.55,"CR-ViT",0.07012009087958457,237
"Training cohort","IDHmut-intact",24,0.5750000000000001,"Treat all",-0.6396363203012078,237
"Training cohort","IDHmut-intact",24,0.5750000000000001,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.5750000000000001,"Clinicoradiologic",0.01629850252337222,237
"Training cohort","IDHmut-intact",24,0.5750000000000001,"3D-CNN",0.018721412615679188,237
