"cohort","subtype","model","time_months","brier","ibs"
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",18,0.20319604207182465,0.19708235543348065
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,0.24106115170682926,0.19708235543348065
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",30,0.24974920408111212,0.19708235543348065
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",36,0.2590527096483573,0.19708235543348065
"Temporal validation cohort","IDHmut-intact","3D-CNN",6,0.0630400481057226,0.19012836456399065
"Temporal validation cohort","IDHmut-intact","3D-CNN",12,0.14185106910607687,0.19012836456399065
"Temporal validation cohort","IDHmut-intact","3D-CNN",18,0.20248953782193294,0.19012836456399065
"Temporal validation cohort","IDHmut-intact","3D-CNN",24,0.22703031342086136,0.19012836456399065
"Temporal validation cohort","IDHmut-intact","3D-CNN",30,0.23020485926851564,0.19012836456399065
"Temporal validation cohort","IDHmut-intact","3D-CNN",36,0.2350920382994105,0.19012836456399065
"Temporal validation cohort","IDHmut-intact","3D-ViT",6,0.06052857404969841,0.16632044889040096
"Temporal validation cohort","IDHmut-intact","3D-ViT",12,0.1254128236799774,0.16632044889040096
"Temporal validation cohort","IDHmut-intact","3D-ViT",18,0.17907213513109063,0.16632044889040096
"Temporal validation cohort","IDHmut-intact","3D-ViT",24,0.19673270003736715,0.16632044889040096
"Temporal validation cohort","IDHmut-intact","3D-ViT",30,0.19908095016358998,0.16632044889040096
"Temporal validation cohort","IDHmut-intact","3D-ViT",36,0.20207869683026075,0.16632044889040096
"Temporal validation cohort","IDHmut-intact","CR-ViT",6,0.05826230109082809,0.1632242362494179
"Temporal validation cohort","IDHmut-intact","CR-ViT",12,0.12164329865019868,0.1632242362494179
"Temporal validation cohort","IDHmut-intact","CR-ViT",18,0.17062464961325785,0.1632242362494179
