"cohort","subtype","comparison","metric","difference","ci_low","ci_high","p_value","p_formatted"
"Training cohort","IDHmut-codel","3D-CNN vs Clinicoradiologic","ibs",-0.005658101699795359,-0.020810925343467207,0.011989059844393541,0.5065055663422724,"0.507"
"Training cohort","IDHmut-codel","3D-ViT vs Clinicoradiologic","cindex",0.019668737060041352,-0.08779626433760787,0.1084978581218642,0.7169076984628895,"0.717"
"Training cohort","IDHmut-codel","3D-ViT vs Clinicoradiologic","iauc",0.0808157479061854,-0.0481416416445476,0.1719782418796047,0.18775659408643589,"0.188"
"Training cohort","IDHmut-codel","3D-ViT vs Clinicoradiologic","ibs",-0.018910907138567218,-0.03618197551632073,0.0017754048884497619,0.04924162408674676,"0.049"
"Training cohort","IDHmut-codel","CR-ViT vs Clinicoradiologic","cindex",0.08508022774327118,0.01141474371360107,0.13243073761372146,0.013931767345056361,"0.014"
"Training cohort","IDHmut-codel","CR-ViT vs Clinicoradiologic","iauc",0.13832743687975513,0.04343418645000169,0.20054139993413295,8.568792983241186e-4,"<0.001"
"Training cohort","IDHmut-codel","CR-ViT vs Clinicoradiologic","ibs",-0.026891399047617726,-0.04135425646703769,-0.014807920782013349,4.798419432199032e-4,"<0.001"
"Training cohort","IDHmut-codel","3D-ViT vs 3D-CNN","cindex",0.035261387163561086,-0.013944930386920034,0.06713160468027554,0.10115620760745893,"0.101"
"Training cohort","IDHmut-codel","3D-ViT vs 3D-CNN","iauc",0.053988749784909196,-0.0025409866932350283,0.09704881694390943,0.04138025102503292,"0.041"
"Training cohort","IDHmut-codel","3D-ViT vs 3D-CNN","ibs",-0.013252805438771859,-0.021993735829512813,-0.0037649812094815186,0.0024639715520082266,"0.002"
"Training cohort","IDHmut-codel","CR-ViT vs 3D-CNN","cindex",0.10067287784679091,0.04725915467782657,0.1535341432485135,7.596006476717834e-4,"<0.001"
"Training cohort","IDHmut-codel","CR-ViT vs 3D-CNN","iauc",0.11150043875847893,0.04082283865166886,0.17384977206188268,0.0014834442734006027,"0.001"
"Training cohort","IDHmut-codel","CR-ViT vs 3D-CNN","ibs",-0.021233297347822366,-0.03741245797148805,-0.00796604130416789,0.002536974117790115,"0.003"
"Training cohort","IDHmut-codel","CR-ViT vs 3D-ViT","cindex",0.06541149068322982,0.025340169573728248,0.1270873970917787,0.011700515599254313,"0.012"
"Training cohort","IDHmut-codel","CR-ViT vs 3D-ViT","iauc",0.05751168897356973,0.012297784569409852,0.11441039010693811,0.027590006587228554,"0.028"
"Training cohort","IDHmut-codel","CR-ViT vs 3D-ViT","ibs",-0.007980491909050508,-0.01809705128898026,0.0020012548843543376,0.12467711042297341,"0.125"
"Training cohort","GBM","3D-CNN vs Clinicoradiologic","cindex",0.010239567233384927,-0.027142996392271145,0.06328367140551684,0.650671042787338,"0.651"
